,FIT_400_001C_P.PV,FIT_400_002C_P.PV,Q_400_001C_P.PV
844,805.05,699.99,805.38
845,805.05,699.99,805.38
846,805.05,699.99,805.38
847,805.05,699.99,805.38
848,805.05,699.99,805.38
849,805.05,699.99,805.38
850,805.05,699.99,805.38
851,805.05,699.99,805.38
852,805.05,699.99,805.38
853,805.05,699.99,805.38
854,805.05,699.99,805.38
855,805.05,699.99,805.38
856,805.05,699.99,805.38
857,805.05,699.99,805.38
858,805.05,699.99,805.38
859,805.05,699.99,805.38
860,805.05,699.99,805.38
861,805.05,699.99,805.38
862,805.05,699.99,805.38
863,805.05,699.99,805.38
864,805.05,699.99,805.38
865,805.05,699.99,805.38
866,805.05,699.99,805.38
867,805.05,699.99,805.38
868,805.05,699.99,805.38
869,805.05,699.99,805.38
870,805.05,699.99,805.38
871,805.05,699.99,805.38
872,805.05,699.99,805.38
873,805.05,699.99,805.38
874,805.05,699.99,805.38
875,805.05,699.99,805.38
876,805.05,699.99,805.38
877,805.05,699.99,805.38
878,805.05,699.99,805.38
879,805.05,699.99,805.38
880,805.05,699.99,805.38
881,805.05,699.99,805.38
882,805.05,699.99,805.38
883,805.05,699.99,805.38
884,805.05,699.99,805.38
885,805.05,699.99,805.38
886,805.05,699.99,805.38
887,805.05,699.99,805.38
888,805.05,699.99,805.38
889,805.05,699.99,805.38
890,805.05,699.99,805.38
891,805.05,699.99,805.38
892,805.05,699.99,805.38
893,805.05,699.99,805.38
894,805.05,699.99,805.38
895,805.05,699.99,805.38
896,805.05,699.99,805.38
897,805.05,699.99,805.38
898,805.05,699.99,805.38
899,805.05,699.99,805.38
900,805.05,699.99,805.38
901,805.05,699.99,805.38
902,805.05,699.99,805.38
903,805.05,699.99,805.38
904,805.05,699.99,805.38
905,805.05,699.99,805.38
906,805.05,699.99,805.38
907,805.05,699.99,805.38
908,805.05,699.99,805.38
909,805.05,699.99,805.38
910,805.05,699.99,805.38
911,805.05,699.99,805.38
912,805.05,699.99,805.38
913,805.05,699.99,805.38
914,805.05,699.99,805.38
915,805.05,699.99,805.38
916,805.05,699.99,805.38
917,805.05,699.99,805.38
918,805.05,699.99,805.38
919,805.05,699.99,805.38
920,805.05,699.99,805.38
921,805.05,699.99,805.38
922,805.05,699.99,805.38
923,805.05,699.99,805.38
924,805.05,699.99,805.38
925,805.05,699.99,805.38
926,805.05,699.99,805.38
927,805.05,699.99,805.38
928,805.05,699.99,805.38
929,805.05,699.99,805.38
930,805.05,699.99,805.38
931,805.05,699.99,805.38
932,805.05,699.99,805.38
933,805.05,699.99,805.38
934,805.05,699.99,805.38
935,805.05,699.99,805.38
936,805.05,699.99,805.38
937,805.05,699.99,805.38
938,805.05,699.99,805.38
939,805.05,699.99,805.38
940,805.05,699.99,805.38
941,805.05,699.99,805.38
942,805.05,699.99,805.38
943,805.05,699.99,805.38
944,805.05,699.99,805.38
945,805.05,699.99,805.38
946,805.05,699.99,805.38
947,805.05,699.99,805.38
948,805.05,699.99,805.38
949,805.05,699.99,805.38
950,803.13,699.99,741.58
951,800.83,445.28,813.03
952,804.83,700.26,805.66
953,804.71,700.07,804.99
954,804.48,699.61,804.98
955,807.96,699.81,805.55
956,803.97,699.33,805.38
957,804.67,699.92,805.47
958,807.06,700.4,805.09
959,804.19,699.74,805.06
960,805.59,700.07,805.67
961,804.4,699.91,805.52
962,806.38,700.21,805.24
963,805.66,700.76,805.28
964,804.77,700.4,805.74
965,806.58,700.01,805.47
966,801.71,699.94,805.58
967,807.2,700.27,805.83
968,805.97,699.55,805.69
969,803.09,699.64,805.3
970,806.13,700.63,805.03
971,803.92,699.83,804.99
972,805.86,699.67,805.32
973,805.31,699.97,805.34
974,805.66,699.8,805.77
975,805.63,700.14,805.58
976,807.36,700.01,805.43
977,803.58,700.45,805.25
978,807.25,699.78,805.4
979,805.47,700.25,805.36
980,803.76,699.66,805.58
981,809.1,700.4,805.42
982,805.56,700.12,805.43
983,804.03,699.94,805.05
